4-13全国分性别、职业小类、周工作时间的正在工作人口-职业小类性别-职业小类性别-职业小类性别,单位：人-合计-合计-合计,1-8小时-1-8小时-1-8小时,9-19小时-9-19小时-9-19小时,20-34小时,35小时,36-39小时,40小时-40小时-40小时,41-47小时-41-47小时-41-47小时,48小时-48小时-48小时,48小时以上,周平均-工作时间-(小时)
工程施工人员,353257,1160.0,3826.0,30238.0,5026.0,5244.0,89131,16454.0,34937,167241,48
土石方施工人员,27231,114.0,363.0,2757.0,409.0,381.0,6862,1204.0,2476,12665,47
砌筑人员,132397,526.0,1942.0,13362.0,1992.0,2206.0,31012,6473.0,12252,62632,47
混凝土配制及制品加工人员,33682,96.0,279.0,2870.0,496.0,503.0,7621,1631.0,3383,16803,48
钢筋加工人员,17695,40.0,113.0,1246.0,244.0,278.0,4188,836.0,1801,8949,49
施工架子搭设人员,7099,23.0,83.0,573.0,105.0,106.0,1743,356.0,618,3492,48
工程防水人员,2293,3.0,36.0,214.0,25.0,31.0,661,102.0,237,984,47
装饰、装修人员,87948,237.0,708.0,6157.0,1103.0,1162.0,21929,3680.0,9616,43356,49
古建筑修建人员,395,12.0,3.0,29.0,3.0,7.0,138,17.0,49,137,45
筑路、养护、维修人员,10377,25.0,66.0,497.0,187.0,82.0,4927,343.0,997,3253,45
工程设备安装人员,5467,16.0,30.0,250.0,69.0,52.0,2174,227.0,689,1960,47
其他工程施工人员,28673,68.0,203.0,2283.0,393.0,436.0,7876,1585.0,2819,13010,48
运输设备操作人员及有关人员,128061,363.0,977.0,7182.0,1666.0,1315.0,46107,5147.0,13976,51328,47
公(道)路运输机械设备操作及有关人员,97857,308.0,872.0,6180.0,1374.0,1036.0,31896,4175.0,9879,42137,48
铁路、地铁运输机械设备操作及有关人员,7973,12.0,19.0,148.0,86.0,93.0,5267,229.0,803,1316,44
民用航空设备操作及有关人员,1131,,5.0,47.0,15.0,10.0,582,30.0,132,310,45
水上运输设备操作及有关人员,3188,5.0,18.0,215.0,64.0,52.0,993,174.0,242,1425,48
起重装卸机械操作及有关人员,11656,19.0,25.0,255.0,55.0,65.0,5072,320.0,2124,3721,47
其他运输设备操作人员及有关人员,6256,19.0,38.0,337.0,72.0,59.0,2297,219.0,796,2419,47
环境监测与废物处理人员,8363,30.0,57.0,419.0,123.0,79.0,3701,275.0,904,2775,46
环境监测人员,1945,4.0,1.0,39.0,49.0,11.0,1366,50.0,136,289,43
海洋环境调查与监测人员,164,,4.0,8.0,2.0,2.0,83,5.0,15,45,45
废物处理人员,5256,22.0,44.0,312.0,55.0,54.0,1806,186.0,669,2108,47
其他环境监测与废物处理人员,998,4.0,8.0,60.0,17.0,12.0,446,34.0,84,333,46
检验、计量人员,220956,227.0,352.0,3129.0,1421.0,1203.0,85348,6802.0,42980,79494,48
检验人员,203696,199.0,303.0,2691.0,1272.0,1070.0,77178,6286.0,40564,74133,48
航空产品检验人员,594,,,6.0,2.0,6.0,392,15.0,75,98,44
航天器检验、测试人员,1810,7.0,21.0,122.0,26.0,19.0,689,62.0,210,654,46
计量人员,8184,13.0,17.0,192.0,80.0,57.0,3961,241.0,1065,2558,46
其他检验、计量人员,6672,8.0,11.0,118.0,41.0,51.0,3128,198.0,1066,2051,46
其他生产、运输设备操作人员及有关人员,488830,1140.0,3200.0,26845.0,4990.0,4882.0,121588,19291.0,79996,226898,49
包装人员,221173,285.0,610.0,6427.0,1393.0,1703.0,51954,8274.0,46631,103896,50
机泵操作人员,5329,10.0,10.0,118.0,33.0,43.0,2344,150.0,812,1809,47
简单体力劳动人员,262328,845.0,2580.0,20300.0,3564.0,3136.0,67290,10867.0,32553,121193,48
不便分类的其他从业人员,25642,94.0,284.0,2062.0,449.0,266.0,8597,1131.0,2777,9982,47
